17,7682647;1;;R1-R2;*10^4;10000
17,7687416;204;;0,000269;2,69;
17,7684059;205;;-0,0003357;-3,357;
17,7683563;206;;-4,96E-05;-0,496;
17,769123;207;;0,0007667;7,667;
17,7689609;208;;-0,0001621;-1,621;
17,768608;209;;-0,0003529;-3,529;
17,7684192;210;;-0,0001888;-1,888;
17,7687816;211;;0,0003624;3,624;
17,7684898;212;;-0,0002918;-2,918;
17,7685604;213;;7,06E-05;0,706;
17,768507;214;;-5,34E-05;-0,534;
17,7683792;215;;-0,0001278;-1,278;
17,7679691;216;;-0,0004101;-4,101;
17,7688922;217;;0,0009231;9,231;
17,7688484;218;;-4,38E-05;-0,438;
17,7679367;219;;-0,0009117;-9,117;
17,7682132;220;;0,0002765;2,765;
17,768589;221;;0,0003758;3,758;
17,7680873;222;;-0,0005017;-5,017;
17,7680606;223;;-2,67E-05;-0,267;
17,7679996;224;;-6,10E-05;-0,61;
17,7687358;225;;0,0007362;7,362;
17,7683448;226;;-0,000391;-3,91;
17,7691459;227;;0,0008011;8,011;
17,7690372;228;;-0,0001087;-1,087;
17,7688941;229;;-0,0001431;-1,431;
17,7686424;230;;-0,0002517;-2,517;
17,7685241;231;;-0,0001183;-1,183;
17,7683486;232;;-0,0001755;-1,755;
17,7685928;233;;0,0002442;2,442;
17,7688961;234;;0,0003033;3,033;
17,7689399;235;;4,38E-05;0,438;
17,7683792;236;;-0,0005607;-5,607;
17,7679691;237;;-0,0004101;-4,101;
17,767908;238;;-6,11E-05;-0,611;
17,7684764;239;;0,0005684;5,684;
17,7682228;240;;-0,0002536;-2,536;
17,7684097;241;;0,0001869;1,869;
17,7676792;242;;-0,0007305;-7,305;
17,7675971;243;;-8,21E-05;-0,821;
17,7676315;244;;3,44E-05;0,344;
17,7685031;245;;0,0008716;8,716;
17,7684516;246;;-5,15E-05;-0,515;
17,7686481;247;;0,0001965;1,965;
17,7689971;248;;0,000349;3,49;
17,7689189;249;;-7,82E-05;-0,782;
17,7678604;250;;-0,0010585;-10,585;
17,7677631;251;;-9,73E-05;-0,973;
17,7682456;252;;0,0004825;4,825;
17,7684841;253;;0,0002385;2,385;
17,7685089;254;;2,48E-05;0,248;
17,7684555;255;;-5,34E-05;-0,534;
17,7682933;256;;-0,0001622;-1,622;
17,7681922;257;;-0,0001011;-1,011;
17,7688617;258;;0,0006695;6,695;
17,7689952;259;;0,0001335;1,335;
17,7685508;260;;-0,0004444;-4,444;
17,7680511;261;;-0,0004997;-4,997;
17,7686996;262;;0,0006485;6,485;
17,7686653;263;;-3,43E-05;-0,343;
17,7683582;264;;-0,0003071;-3,071;
17,7682399;265;;-0,0001183;-1,183;
17,768404;266;;0,0001641;1,641;
17,7686672;267;;0,0002632;2,632;
17,7679328;268;;-0,0007344;-7,344;
17,7680549;269;;0,0001221;1,221;
17,7685222;270;;0,0004673;4,673;
17,7682018;271;;-0,0003204;-3,204;
17,768402;272;;0,0002002;2,002;
17,7684211;273;;1,91E-05;0,191;
17,7684402;274;;1,91E-05;0,191;
17,7689571;275;;0,0005169;5,169;
17,7686672;276;;-0,0002899;-2,899;
17,7684459;277;;-0,0002213;-2,213;
17,7689437;278;;0,0004978;4,978;
17,7685928;279;;-0,0003509;-3,509;
17,7686996;280;;0,0001068;1,068;
17,7691669;281;;0,0004673;4,673;
